['data_5min/dot_usd_5min_data4.csv', '-13', '3', '0.025', '0.065', '80', '8', '0.0009', '0.0008', '7', '2', '12', '0.17', 'True', 'True', '75', '22', '29.333333333333332', '1750']

['data_5min/atom_usd_5min_data4.csv', '-13', '2', '0.015', '0.065', '80', '8', '0.0006', '0.0011', '3', '2', '12', '0.17', 'True', 'True', '97', '25', '25.773195876288657', '1400']
['data_5min/atom_usd_5min_data4.csv', '-13', '2', '0.035', '0.065', '80', '8', '0.0006', '0.0011', '7', '2', '12', '0.17', 'True', 'True', '237', '53', '22.362869198312236', '1400']
['data_5min/atom_usd_5min_data4.csv', '-13', '2', '0.015', '0.065', '80', '8', '0.0009', '0.0011', '7', '2', '12', '0.17', 'True', 'True', '91', '24', '26.373626373626376', '1450']
['data_5min/atom_usd_5min_data4.csv', '-13', '2', '0.015', '0.065', '80', '8', '0.0009', '0.0011', '5', '2', '12', '0.17', 'True', 'True', '90', '24', '26.666666666666668', '1500']
['data_5min/atom_usd_5min_data4.csv', '-13', '3', '0.025', '0.065', '80', '8', '0.0009', '0.0011', '3', '2', '12', '0.17', 'True', 'True', '159', '38', '23.89937106918239', '1550']
['data_5min/atom_usd_5min_data4.csv', '-13', '3', '0.025', '0.065', '80', '8', '0.0009', '0.0008', '5', '2', '12', '0.17', 'True', 'True', '112', '30', '26.785714285714285', '1900']
['data_5min/atom_usd_5min_data4.csv', '-13', '2', '0.035', '0.065', '80', '8', '0.0009', '0.0011', '7', '2', '12', '0.17', 'True', 'True', '252', '58', '23.015873015873016', '1900']
['data_5min/atom_usd_5min_data4.csv', '-13', '2', '0.035', '0.065', '80', '8', '0.0009', '0.0011', '3', '2', '12', '0.17', 'True', 'True', '316', '71', '22.468354430379748', '1950']
['data_5min/atom_usd_5min_data4.csv', '-13', '2', '0.025', '0.065', '80', '8', '0.0009', '0.0011', '5', '2', '12', '0.17', 'True', 'True', '229', '54', '23.580786026200872', '2050']
['data_5min/atom_usd_5min_data4.csv', '-13', '2', '0.035', '0.065', '80', '8', '0.0009', '0.0011', '5', '2', '12', '0.17', 'True', 'True', '277', '66', '23.826714801444044', '2650']
['data_5min/atom_usd_5min_data4.csv', '-13', '3', '0.025', '0.065', '80', '8', '0.0006', '0.0008', '3', '2', '12', '0.17', 'True', 'True', '113', '34', '30.08849557522124', '2850']
['data_5min/atom_usd_5min_data4.csv', '-13', '3', '0.025', '0.065', '80', '8', '0.0009', '0.0008', '3', '2', '12', '0.17', 'True', 'True', '134', '40', '29.850746268656714', '3300']


['data_5min/xrp_usd_5min_data4.csv', '-13', '0', '0.02', '0.065', '80', '8', '0.0007', '0.001', '5', '0.25', '12', '0.17', 'False', 'True', '272', '69', '25.36764705882353', '3650']
