
['data_5min/sol_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.382', '-0.17', '1', '616', '360', '52.820512820512825', '58.44155844155844', '5.621045621045617', '1638.8349514563115']
['data_5min/sol_usd_5min_data4.csv', '0.035', '0.065', '81', '8', '3', '0.382', '-0.17', '0.618', '396', '139', '29.9492385786802', '35.1010101010101', '5.1517715223298985', '1702.9661016949167']
['data_5min/sol_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.382', '-0.272', '0.768', '402', '175', '37.11538461538461', '43.53233830845771', '6.416953693073097', '1737.5647668393785']
['data_5min/sol_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.382', '-0.17', '0.768', '522', '244', '41.15138592750534', '46.74329501915709', '5.59190909165175', '1773.3160621761654']
['data_5min/sol_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.272', '0.618', '124', '26', '13.258426966292133', '20.967741935483872', '7.709314969191739', '1802.5423728813557']
['data_5min/sol_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '0', '0.768', '303', '133', '34.895833333333336', '43.89438943894389', '8.998556105610554', '1953.3582089552237']
['data_5min/sol_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.17', '0.618', '126', '31', '14.9746192893401', '24.6031746031746', '9.628555313834502', '2025.42372881356']
['data_5min/sol_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '0', '0.618', '113', '39', '19.093851132686083', '34.51327433628318', '15.419423203597098', '2281.35593220339']
['data_5min/sol_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.382', '-0.17', '0.768', '630', '301', '41.15138592750534', '47.77777777777778', '6.626391850272441', '2536.139896373057']
['data_5min/sol_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '0', '0.618', '133', '50', '19.093851132686083', '37.59398496240601', '18.50013382971993', '3221.610169491526']

['data_5min/matic_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.272', '1', '1063', '442', '39.30817610062893', '41.580432737535276', '2.2722566369063486', '1536.2000000000007']
['data_5min/matic_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.382', '-0.17', '0.768', '1014', '444', '41.15138592750534', '43.786982248520715', '2.6355963210153774', '1623.5751295336777']
['data_5min/matic_usd_5min_data4.csv', '0.035', '0.065', '81', '8', '3', '0.5', '-0.272', '0.618', '583', '86', '13.258426966292133', '14.751286449399656', '1.492859483107523', '1641.1016949152545']
['data_5min/matic_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.382', '-0.272', '0.768', '918', '366', '37.11538461538461', '39.869281045751634', '2.7538964303670213', '1702.8497409326428']
['data_5min/matic_usd_5min_data4.csv', '0.035', '0.065', '81', '8', '3', '0.5', '0', '0.618', '643', '141', '19.093851132686083', '21.928460342146188', '2.8346092094601048', '2386.440677966102']
['data_5min/matic_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.17', '0.618', '558', '98', '14.9746192893401', '17.562724014336915', '2.588104724996816', '2411.016949152545']
['data_5min/matic_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.272', '0.768', '1138', '322', '25.769230769230766', '28.295254833040424', '2.5260240638096576', '2788.805970149253']
['data_5min/matic_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.272', '0.618', '527', '86', '13.258426966292133', '16.318785578747626', '3.0603586124554933', '3041.1016949152545']

['data_5min/link_usd_5min_data4.csv', '0.035', '0.065', '81', '8', '3', '0.5', '0', '0.768', '527', '202', '34.895833333333336', '38.33017077798861', '3.4343374446552772', '1296.6417910447744']
['data_5min/link_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.382', '-0.17', '0.768', '863', '377', '41.15138592750534', '43.684820393974505', '2.533434466469167', '1328.2383419689122']
['data_5min/link_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '0', '0.618', '846', '172', '19.093851132686083', '20.33096926713948', '1.2371181344533966', '1370.3389830508495']
['data_5min/link_usd_5min_data4.csv', '0.035', '0.065', '81', '8', '3', '0.5', '0', '0.618', '528', '115', '19.093851132686083', '21.78030303030303', '2.686451897616948', '1857.203389830509']
['data_5min/link_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.382', '0', '0.768', '932', '511', '50.260416666666664', '54.82832618025751', '4.567909513590848', '2117.6165803108797']

['data_5min/dot_usd_5min_data4.csv', '0.035', '0.065', '81', '8', '3', '0.382', '0', '0.768', '244', '135', '50.260416666666664', '55.32786885245902', '5.067452185792355', '615.025906735751']
['data_5min/dot_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '0', '1', '374', '200', '50.0', '53.475935828877006', '3.475935828877006', '650.0']
['data_5min/dot_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.382', '0', '0.768', '415', '222', '50.260416666666664', '53.493975903614455', '3.233559236947791', '667.4870466321245']
['data_5min/dot_usd_5min_data4.csv', '0.035', '0.065', '81', '8', '3', '0.5', '-0.17', '1', '261', '123', '42.73504273504274', '47.12643678160919', '4.391394046566454', '670.5']
['data_5min/dot_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.272', '1', '433', '182', '39.30817610062893', '42.032332563510394', '2.724156462881467', '750.1999999999998']
['data_5min/dot_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.17', '1', '446', '204', '42.73504273504274', '45.73991031390135', '3.004867578858608', '784.0']
['data_5min/dot_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '-0.272', '1', '333', '145', '39.30817610062893', '43.54354354354354', '4.235367442914615', '897.0']
['data_5min/dot_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '0', '1', '483', '261', '50.0', '54.037267080745345', '4.037267080745345', '975.0']

['data_5min/atom_usd_5min_data4.csv', '0.035', '0.065', '81', '8', '3', '0.382', '0', '0.618', '505', '218', '38.18770226537217', '43.16831683168317', '4.980614566311004', '1646.610169491527']
['data_5min/atom_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.17', '0.618', '290', '55', '14.9746192893401', '18.96551724137931', '3.9908979520392105', '1932.2033898305099']
['data_5min/atom_usd_5min_data4.csv', '0.035', '0.065', '81', '8', '3', '0.5', '0', '0.768', '627', '250', '34.895833333333336', '39.87240829346093', '4.976574960127593', '2235.447761194029']
['data_5min/atom_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '0', '0.768', '714', '281', '34.895833333333336', '39.35574229691877', '4.459908963585434', '2281.3432835820877']
['data_5min/atom_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '0', '0.618', '304', '76', '19.093851132686083', '25.0', '5.906148867313917', '2350.847457627119']
['data_5min/atom_usd_5min_data4.csv', '0.035', '0.065', '81', '8', '3', '0.5', '0', '0.618', '630', '139', '19.093851132686083', '22.063492063492063', '2.96964093080598', '2449.576271186441']
['data_5min/atom_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '0', '0.768', '913', '353', '34.895833333333336', '38.66374589266155', '3.7679125593282166', '2464.552238805969']
['data_5min/atom_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '-0.272', '0.618', '668', '102', '13.258426966292133', '15.269461077844312', '2.0110341115521795', '2533.0508474576272']
['data_5min/atom_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.272', '0.618', '280', '51', '13.258426966292133', '18.21428571428571', '4.955858747993579', '2616.5254237288136']
['data_5min/atom_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '0', '0.618', '752', '166', '19.093851132686083', '22.074468085106382', '2.9806169524202986', '2934.745762711864']

['data_5min/apt_usd_5min_data2.csv', '0.025', '0.065', '81', '8', '3', '0.5', '0', '1', '614', '340', '50.0', '55.37459283387622', '5.374592833876221', '1650.0']
['data_5min/apt_usd_5min_data2.csv', '0.015', '0.065', '81', '8', '3', '0.5', '0', '1', '1027', '549', '50.0', '53.45666991236612', '3.4566699123661166', '1775.0']
['data_5min/apt_usd_5min_data2.csv', '0.025', '0.065', '81', '8', '3', '0.5', '-0.17', '0.618', '592', '102', '14.9746192893401', '17.22972972972973', '2.2551104403896307', '2228.813559322036']
['data_5min/apt_usd_5min_data2.csv', '0.035', '0.065', '81', '8', '3', '0.5', '-0.272', '0.618', '393', '64', '13.258426966292133', '16.28498727735369', '3.026560311061557', '2242.796610169493']
['data_5min/apt_usd_5min_data2.csv', '0.035', '0.065', '81', '8', '3', '0.5', '-0.17', '0.618', '409', '78', '14.9746192893401', '19.070904645476773', '4.096285356136674', '2797.033898305086']
['data_5min/apt_usd_5min_data2.csv', '0.025', '0.065', '81', '8', '3', '0.5', '0', '0.618', '635', '143', '19.093851132686083', '22.51968503937008', '3.425833906683998', '2848.3050847457635']
['data_5min/apt_usd_5min_data2.csv', '0.035', '0.065', '81', '8', '3', '0.5', '0', '0.618', '434', '106', '19.093851132686083', '24.42396313364055', '5.330112000954468', '3028.813559322034']
['data_5min/apt_usd_5min_data2.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.272', '0.618', '633', '105', '13.258426966292133', '16.587677725118482', '3.3292507588263494', '3973.7288135593226']

['data_5min/ada_usd_5min_data4.csv', '0.025', '0.065', '81', '8', '3', '0.5', '0', '0.768', '721', '267', '34.895833333333336', '37.03190013869626', '2.1360668053629226', '1103.358208955222']
['data_5min/ada_usd_5min_data4.csv', '0.015', '0.065', '81', '8', '3', '0.5', '-0.272', '1', '627', '267', '39.30817610062893', '42.58373205741627', '3.2755559567873433', '1306.2000000000007']
